2p-Field,2p-ROI,matched,not_a_cell,Nuc Coords,Estimated EM Coords
GCL0,1,True,False,"32653, 23923, 553","32313, 24058, 473"
GCL0,2,True,False,"33159, 22959, 606","32936, 23221, 524"
GCL0,3,True,False,"33787, 21853, 597","33723, 22104, 591"
GCL0,4,True,False,"34131, 21306, 627","34154, 21587, 623"
GCL0,5,True,False,"34753, 20187, 669","34861, 20538, 686"
GCL0,6,True,False,"33757, 22478, 558","33457, 22660, 560"
GCL0,7,True,False,"34769, 21233, 628","34705, 21318, 645"
GCL0,8,True,False,"35359, 20040, 704","35536, 20194, 713"
GCL0,9,True,False,"35922, 19429, 736","35883, 19861, 735"
GCL0,10,True,False,"33441, 23770, 537","33162, 23973, 491"
GCL0,11,True,False,"34155, 21713, 539","34225, 22013, 604"
GCL0,12,True,False,"33441, 23770, 537","33671, 23639, 515"
GCL0,13,True,False,"33940, 23022, 562","33796, 23176, 540"
GCL0,14,True,False,"34529, 22225, 556","34387, 22408, 587"
GCL0,15,True,False,"35300, 20508, 674","35361, 20772, 682"
GCL0,16,True,False,"33229, 24415, 498","32898, 24490, 461"
GCL0,17,True,False,"34268, 22688, 508","34114, 22853, 561"
GCL0,18,True,False,"34793, 21772, 590","34856, 21936, 618"
GCL0,19,True,False,"35387, 21656, 612","35507, 21724, 638"
GCL0,20,True,False,"35439, 20865, 656","35638, 21105, 671"
GCL0,21,True,False,"36037, 20199, 754","36283, 20342, 718"
GCL0,22,True,False,"33645, 24480, 456","33413, 24625, 463"
GCL0,23,True,False,"34910, 23327, 512","34810, 23284, 551"
GCL0,24,True,False,"34980, 22132, 541","35034, 22311, 602"
GCL0,25,True,False,"36215, 20750, 730","36425, 20887, 694"
GCL0,26,True,False,"34120, 24441, 500","33911, 24415, 481"
GCL0,27,True,False,"34333, 23947, 562","34188, 23935, 509"
GCL0,28,True,False,"35613, 22487, 602","35492, 22603, 595"
GCL0,29,True,False,"36139, 21242, 684","36247, 21482, 662"
GCL0,30,True,False,"34034, 24921, 451","33745, 24963, 452"
GCL0,31,True,False,"36884, 20356, 722","37013, 20699, 713"
GCL0,32,True,False,"34613, 24287, 477","34484, 24395, 492"
GCL0,33,True,False,"34560, 24856, 448","34302, 24939, 462"
GCL0,34,True,False,"35152, 24120, 485","34944, 24195, 509"
GCL0,35,True,False,"36613, 22004, 649","36670, 22083, 640"
GCL0,36,True,False,"36716, 21255, 680","36950, 21324, 681"
GCL0,37,True,False,"35347, 23858, 550","35217, 23902, 528"
GCL0,38,True,False,"35782, 23083, 585","35886, 23169, 574"
GCL0,39,True,False,"37333, 20997, 702","37539, 21209, 696"
GCL0,40,True,False,"34836, 25248, 379","34580, 25313, 449"
GCL0,41,True,False,"35126, 24772, 470","35124, 24879, 478"
GCL0,42,True,False,"35762, 23764, 568","35743, 23804, 541"
GCL0,43,True,False,"37175, 21691, 695","37457, 21805, 666"
GCL0,44,True,False,"34833, 25769, 365","34627, 25785, 426"
GCL0,45,True,False,"35827, 24494, 527","35647, 24459, 507"
GCL0,46,True,False,"36710, 23076, 583","36619, 23086, 590"
GCL0,47,True,False,"37002, 22765, 603","37181, 22717, 617"
GCL0,48,True,False,"35393, 25756, 442","35268, 25652, 443"
GCL0,49,True,False,"36425, 23638, 523","36378, 23676, 557"
GCL0,50,True,False,"37843, 21275, 687","38072, 21487, 691"
GCL0,51,True,False,"36276, 24360, 508","36205, 24318, 523"
GCL0,52,True,False,"36829, 23632, 575","36897, 23626, 568"
GCL0,53,True,False,"37507, 22052, 655","37954, 22165, 656"
GCL0,54,True,False,"35736, 26304, 463","35316, 26214, 417"
GCL0,55,True,False,"36261, 24878, 470","36174, 24879, 495"
GCL0,56,True,False,"36747, 24328, 534","36807, 24197, 539"
GCL0,57,True,False,"37717, 22693, 606","37886, 22767, 626"
GCL0,58,True,False,"36268, 25665, 459","36035, 25439, 466"
GCL0,59,True,False,"37479, 23564, 527","37601, 23562, 583"
GCL0,60,True,False,"38359, 22221, 670","38622, 22145, 668"
