2p-Field,2p-ROI,Index,Nuc Coords,Nuc SupervoxID,Latest NucID,Soma Coords,Soma SupervoxID,Latest SegID,Latest ID Update Date (all rows): 2026-07,Comment,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4872853030699008 
GCL0,1,D1,"32653, 23923, 553",76493986151462142,720575940577751704,"32653, 23923, 583",76493986151527146,720575940550529705,,,
GCL0,2,D2,"33159, 22959, 606",76564217456810156,720575940534317101,"33159, 22959, 661",76564217456913467,720575940568652126,,,
GCL0,3,D3,"33787, 21853, 597",76634448762033177,720575940554891618,"33787, 21853, 677",76634448762209118,720575940572885792,,,
GCL0,4,D4,"34131, 21306, 627",76704748786797430,720575940554657378,"34131, 21306, 657",76704748786848125,720575940566222700,,,
GCL0,5,D5,"34753, 20187, 669",76774980092074040,720575940571117757,"34753, 20187, 684",76774980092107247,720575940577371948,,,
GCL0,6,D6,"33757, 22478, 558",76634517481409137,720575940562610790,"33757, 22478, 608",76634517481512698,720575940580144024,,,
GCL0,7,D7,"34769, 21233, 628",76775117530947635,720575940574468310,"34769, 21233, 678",76775117531051246,720575940557403260,,,
GCL0,8,D8,"35359, 20040, 704",76915717580400641,720575940555227789,"35359, 20040, 739",76915717580467493,720575940573675593,,,
GCL0,9,D9,"35922, 19429, 736",76985948885567218,720575940552583180,"35922, 19429, 811",76985948952512041,720575940569897106,,,
GCL0,10,D11,"33441, 23770, 537",76634723639744711,720575940562919113,"33352, 23818, 628",76634723639957401,720575940573641976,,,
GCL0,11,D10,"34155, 21713, 539",76704817506046490,720575940554018442,"34155, 21713, 614",76704817506201306,720575940558108197,,,
GCL0,12,D11,"33441, 23770, 537",76634723639744711,720575940562919113,"33352, 23818, 628",76634723639957401,720575940573641976,,,
GCL0,13,D12,"33940, 23022, 562",76704954945016276,720575940549337669,"33940, 23022, 632",76704954945180446,720575940566710278,,,
GCL0,14,D13,"34529, 22225, 556",76775254969712848,720575940573137160,"34529, 22225, 651",76775254969920198,720575940556928351,,,
GCL0,15,D14,"35300, 20508, 674",76845417555776138,720575940574202309,"35300, 20508, 699",76845417555831788,720575940540499576,,,
